label,text
spam,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers
spam,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF
ham,\ER
ham,So lets make it saturday or monday as per convenience.
ham,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...
ham,"Hi Chikku, send some nice msgs"
ham,Huh y lei...
ham,Speaking of does he have any cash yet?
ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo"
ham,Hi where you. You in home or calicut?
ham,Aiyah u did ok already lar. E nydc at wheellock?
ham,"Easy mate, * guess the quick drink was bit ambitious."
ham,I borrow ur bag ok.
ham,Hey mr  and I are going to the sea view and having a couple of gays I mean games! Give me a bell when ya finish 
ham,Carlos says we can pick up from him later so yeah we're set
ham,Ho ho - big belly laugh! See ya tomo
ham,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.
ham,Yeah do! Donï¿½ï¿½ï¿½t stand to close tho- youï¿½ï¿½ï¿½ll catch something!
ham,You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days
ham,"Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna"
ham,Thats cool princess! I will cover your face in hot sticky cum :)
ham,Its normally hot mail. Com you see!
ham,Whom you waited for yesterday
ham,Dont know supports ass and srt i thnk. I think ps3 can play through usb too
ham,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.
ham,WHO ARE YOU SEEING?
ham,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao..."
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+ 
ham,Will do. Have a good day
ham,Reason is if the team budget is available at last they buy the unsold players for at base rate..
ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
ham,I dont know what to do to come out of this so only am ask questions like this dont mistake me.
ham,"That's the trouble with classes that go well - you're due a dodgey one ï¿½ï¿½_ Expecting mine tomo! See you for recovery, same time, same place "
spam,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n
ham,Is ur paper in e morn or aft tmr?
spam,A ï¿½400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a ï¿½400 reward. Just call 09066380611 
ham,Not yet chikku..wat abt u?
ham,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)
ham,1 in cbe. 2 in chennai.
ham,"We are hoping to get away by 7, from Langport. You still up for town tonight?"
spam,"Win the newest ï¿½ï¿½ï¿½Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
ham,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
ham,Ok no prob...
ham,Come by our room at some point so we can iron out the plan for this weekend
ham,"Jay wants to work out first, how's 4 sound?"
ham,Yo! Howz u? girls never rang after india. L
ham,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up"
ham,Thnx dude. u guys out 2nite?
ham,Wish i were with you now!
ham,Noice. Text me when you're here
ham,Unlimited texts. Limited minutes.
ham,I'm also came to room.
spam,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.
ham,I can make lasagna for you... vodka...
ham,Oh did you charge camera
spam,important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
ham,But you were together so you should be thinkin about him
ham,"Awesome, think we can get an 8th at usf some time tonight?"
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
ham,Oh... Kay... On sat right?
ham,Nope thats fine. I might have a nap tho! 
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
ham,Hey... What time is your driving on fri? We go for evaluation on fri?
ham,"There're some people by mu, I'm at the table by lambda"
ham,Never y lei... I v lazy... Got wat? Dat day ï¿½_ send me da url cant work one...
ham,U attend ur driving lesson how many times a wk n which day?
ham,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour
ham,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?
spam,FreeMsg>FAV XMAS TONES!Reply REAL
ham,I was at bugis juz now wat... But now i'm walking home oredi... ï¿½ï¿½ so late then reply... I oso saw a top dat i like but din buy... Where r ï¿½_ now? 
ham,I donno its in your genes or something
ham,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/
ham,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs."
ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
ham,No..few hours before.went to hair cut .
ham,You want to go? 
ham,Hey... Why dont we just go watch x men and have lunch... Haha 
ham,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:
ham,I asked you to call him now ok
ham,Huh so early.. Then ï¿½_ having dinner outside izzit?
ham,Then why no one talking to me
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
ham,Where are you call me.
spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
spam,You have WON a guaranteed ï¿½1000 cash or a ï¿½2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p
spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!
spam,Uï¿½Ûªve Bin Awarded ï¿½50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min ï¿½50-ï¿½500. OptOut 08718727870
ham,You should get more chicken broth if you want ramen unless there's some I don't know about
ham,What * u wearing?
ham,What you need. You have a person to give na.
ham,I'm leaving my house now.
ham,"Cool, text me when you're parked"
ham,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...
ham,oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i'm free leh... And there's a kb lesson tonight
ham,"They can try! They can get lost, in fact. Tee hee"
ham,These won't do. Have to move on to morphine
ham,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later"
ham,R u here yet? I'm wearing blue shirt n black pants.
spam,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive ï¿½5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else...."
ham,Thought we could go out for dinner. I'll treat you! Seem ok?
spam,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd
ham,Daddy will take good care of you :)
spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?"
ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out
ham,We have pizza if u want
ham,Haf u found him? I feel so stupid da v cam was working.
ham,Go where n buy? Juz buy when we get there lar.
spam,Valentines Day Special! Win over ï¿½1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
spam,Urgent Please call 09066612661 from landline. ï¿½5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ ï¿½ï¿½ï¿½
ham,Jay is snickering and tells me that x is totally fucking up the chords as we speak
ham,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke
ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
ham,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part."
ham,5 nights...We nt staying at port step liao...Too ex
spam,You are a winner you have been specially selected to receive ï¿½1000 cash or a ï¿½2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p
ham,You also didnt get na hi hi hi hi hi
ham,Er mw im filled tuth is aight
ham,yay! finally lol. i missed our cinema trip last week :-(
ham,Yes:)from last week itself i'm taking live call.
ham,Do you like Italian food?
ham,Well welp is sort of a semiobscure internet thing
ham,Oi when you gonna ring
ham,Lara said she can loan me  &lt;#&gt; .
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl."
ham,Just send a text. We'll skype later.
ham,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
ham,"I hav almost reached. Call, i m unable to connect u."
ham,Come to medical college at 7pm ......forward it da
ham,WHAT TIME U WRKIN?
spam,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.
spam,From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost ï¿½1.50 min MobcudB more
ham,For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;
ham,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day."
ham,We live in the next  &lt;#&gt; mins
ham,How? Izzit still raining?
ham,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you."
ham,My battery is low babe
ham,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt
ham,"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?"
ham,"Vikky, come around  &lt;TIME&gt; .."
ham,So how's the weather over there?
spam,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05
ham,Tell dear what happen to you. Why you talking to me like an alian
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
ham,.Please charge my mobile when you get up in morning.
ham,Oops. 4 got that bit.
spam,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q="
ham,Hi..i got the money da:)
ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
ham,I emailed yifeng my part oredi.. Can ï¿½_ get it fr him..
ham,Wanna do some art?! :D
ham,Later i guess. I needa do mcat study too.
ham,"I am real, baby! I want to bring out your inner tigress..."
ham,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.
ham,Really? I crashed out cuddled on my sofa.
ham,I need... Coz i never go before 
ham,She told to hr that he want posting in chennai:)because i'm working here:)
ham,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04
ham,ï¿½ï¿½ come lt 25 n pass to me lar
ham,I'm meeting Darren...
ham,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?
ham,K.:)do it at evening da:)urgent:)
ham,"Uh, heads up we don't have THAT much left"
ham,Tiwary to rcb.battle between bang and kochi.
ham,Do u noe how 2 send files between 2 computers?
ham,If he started searching he will get job in few days.he have great potential and talent.
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
ham,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please "
ham,"Awesome, that gonna be soon or later tonight?"
ham,Ofcourse I also upload some songs
ham,"So check your errors and if you had difficulties, do correction."
ham,"'An Amazing Quote'' - \Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....\"""""
ham,"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more"
ham,Hi happy birthday. Hi hi hi hi hi hi hi
ham,Yeah confirmed for you staying at  that weekend
ham,SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630
ham,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word"
ham,Gud mrng dear have a nice day
ham,Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out
ham,Its a site to simulate the test. It just gives you very tough questions to test your readiness.
ham,Dont let studying stress you out. L8r.
ham,I'm glad. You are following your dreams.
ham,Then wat r u doing now? Busy wif work?
ham,Ard 530 like dat lor. We juz meet in mrt station then ï¿½_ dun haf to come out.
ham,Crazy ar he's married. ï¿½ï¿½ like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
ham,2mro i am not coming to gym machan. Goodnight.
ham,Ill call you evening ill some ideas.
ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
ham,Thank god they are in bed!
ham,You still around? I could use a half-8th
ham,When u wana see it then
ham,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins"
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
ham,ï¿½ï¿½ thk of wat to eat tonight.
ham,Oh k k:)but he is not a big hitter.anyway good
spam,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send \go stop\"" to 89123"""
ham,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
ham,Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.
ham,Good night. Am going to sleep.
ham,Oh yeah clearly it's my fault
spam,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM
ham,Just normal only here :)
ham,You'll never believe this but i have actually got off at taunton. Wow
ham,Haha... Really oh no... How? Then will they deduct your lesson tmr?
ham,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenï¿½ï¿½t sent u 1 in ages started driving so stay off roads!RVx
ham,I've not sent it. He can send me.
ham,No problem baby. Is this is a good time to talk? I called and left a message.
ham,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*
ham,Shopping lor. Them raining mah hard 2 leave orchard.
ham,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet."
ham,You stayin out of trouble stranger!!saw Dave the other day heï¿½ï¿½s sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! 
ham,ï¿½ï¿½ predict wat time ï¿½_'ll finish buying?
ham,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? "
ham,Yup... Ok i go home look at the timings then i msg ï¿½_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am
ham,"Sure, I'll see if I can come by in a bit"
ham,"I'm not coming over, do whatever you want"
ham,Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.
spam,RCT' THNQ Adrian for U text. Rgds Vatian
ham,Prepare to be pounded every night...
ham,I know you are. Can you pls open the back?
ham,Ok i juz receive..
ham,Yeah so basically any time next week you can get away from your mom &amp; get up before 3
ham,"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?"
spam,83039 62735=ï¿½450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 
ham,Yes.i'm in office da:)
ham,C movie is juz last minute decision mah. Juz watch 2 lar but i tot ï¿½_ not interested.
ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
ham,Hey you told your name to gautham ah?
ham,Are you the cutest girl in the world or what
ham,Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
ham,Hi Petey!noiï¿½ï¿½m ok just wanted 2 chat coz avent spoken 2 u 4 a long time-hope ur doin alrite.have good nit at js love ya am.x
ham,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; ."
ham,"I prefer my free days... Tues, wed, fri oso can... ï¿½ï¿½ ask those workin lor..."
ham,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? "
ham,Gokila is talking with you aha:)
ham,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. .."""
ham,Tell where you reached
ham,Idea will soon get converted to live:)
ham,Hey gals.. Anyone of u going down to e driving centre tmr?
ham,If you are not coughing then its nothing
ham,So u wan 2 come for our dinner tonight a not?
ham,"Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt; "
ham,"Until 545 lor... Ya, can go 4 dinner together..."
ham,No no:)this is kallis home ground.amla home town is durban:)
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
ham,How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.Iï¿½ï¿½m knackered and iï¿½ï¿½m dreading work tonight. What are thou upto tonight. X
ham,"Found it, ENC  &lt;#&gt; , where you at?"
ham,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe"
ham,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?
ham,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.
ham,yes baby! I need to stretch open your pussy!
spam,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop"
ham,Even i cant close my eyes you are in me our vava playing umma :-D
ham,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary"
ham,Thanks  and ! Or bomb and date as my phone wanted to say! 
ham,See the forwarding message for proof
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
ham,What's up. Do you want me to come online?
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
spam,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
ham,"It,,s a taxt massage....tie-pos argh ok! Lool!"
ham,A guy who gets used but is too dumb to realize it.
ham,Did he just say somebody is named tampa
spam,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=trueï¿½ï¿½C C Ringtoneï¿½ï¿½
ham,K. I will sent it again
spam,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
ham,Oh ic. I thought you meant mary jane.
ham,Yes i have. So that's why u texted. Pshew...missing you so much
ham,There is no sense in my foot and penis.
ham,Wat u doing there?
ham,Yeah but which is worse for i
ham,How long does applebees fucking take
ham,Okey dokey swashbuckling stuff what oh.
ham,Glad to see your reply.
ham,Horrible bf... I now v hungry...
ham,"Sure thing big man. i have hockey elections at 6, shouldnï¿½ï¿½ï¿½t go on longer than an hour though"
ham,"Goodnight, sleep well da please take care pa. Please."
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
ham,Its a great day. Do have yourself a beautiful one.
ham,At home by the way
ham,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...
ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
ham,Two teams waiting for some players
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or ï¿½250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.
ham,"I shall book chez jules for half eight, if that's ok with you?"
ham,I'm working technical support :)voice process.
ham,Good. do you think you could send me some pix? I would love to see your top and bottom...
ham,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!"
ham,(You didn't hear it from me)
ham,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. "
ham,Anything lor is she coming?
ham,Hurry home. Soup is DONE!
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
ham,U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM
ham,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour"
ham,Sounds like you have many talents! would you like to go on a dinner date next week?
spam,3. You have received your mobile content. Enjoy
ham,Dont show yourself. How far. Put new pictures up on facebook.
ham,Hey i'm bored... So i'm thinking of u... So wat r u doing?
ham,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY ï¿½1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION"
ham,"Okey dokey, iï¿½ï¿½ï¿½ll be over in a bit just sorting some stuff out."
ham,Come to mahal bus stop.. &lt;DECIMAL&gt;
spam,Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p
ham,Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!
ham,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
ham,You are not bothering me but you have to trust my answers. Pls.
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur ï¿½ï¿½rents mayb interested in it, I hav 12,000pes, so around ï¿½48, tb, James."
ham,Anything lor... U decide...
ham,Well then you have a great weekend!
ham,Cool. I am  &lt;#&gt;  inches long. hope you like them big!
ham,I think it's all still in my car
ham,I'll meet you in the lobby
ham,Already one guy loving you:-.
ham,Somebody set up a website where you can play hold em using eve online spacebucks
ham,"Oh yes, why is it like torture watching england?"
ham,"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!"
ham,Dunno lei shd b driving lor cos i go sch 1 hr oni.
ham,So what did the bank say about the money?
ham,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.
ham,Xy trying smth now. U eat already? We havent...
ham,Shb b ok lor... Thanx...
ham,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola
ham,U wan 2 haf lunch i'm in da canteen now.
ham,We left already we at orchard now.
ham,Wot u up 2 u weirdo?
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
ham,Life style garments account no please.
spam,"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message"
ham,I attended but nothing is there.
ham,He is world famamus....
ham,"When I was born, GOD said, \Oh No! Another IDIOT\"". When you were born"
ham,S.s:)i thinl role is like sachin.just standing. Others have to hit.
ham,Not directly behind... Abt 4 rows behind ï¿½_...
ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck"
ham,Im just wondering what your doing right now?
ham,Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?
ham,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember."
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.
ham,You sure your neighbors didnt pick it up
ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'"
spam,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP
ham,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...
ham,Thats cool. i liked your photos. You are very sexy!
ham,Mum ask ï¿½_ to buy food home...
ham,Hey i will be late... i'm at amk. Need to drink tea or coffee
ham,Wat r u doing?
ham,Ard 515 like dat. Y?
ham,"&lt;#&gt; , that's all? Guess that's easy enough"
ham,Lol no. Just trying to make your day a little more interesting
ham,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.
ham,have * good weekend.
ham,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
ham,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u 
ham,"Cool, what time you think you can get here?"
ham,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.
ham,ï¿½ï¿½ no home work to do meh... 
ham,"Sure, whenever you show the fuck up &gt;:("
ham,"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly"
ham,Wait 2 min..stand at bus stop
ham,"Me also da, i feel yesterday night  wait til 2day night dear."
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
ham,"I'll get there at 3, unless you guys want me to come some time sooner"
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
ham,I donno if they are scorable
ham,Tell them no need to investigate about me anywhere.
spam,You have 1 new voicemail. Please call 08719181503
ham,I know complain num only..bettr directly go to bsnl offc nd apply for it..
ham,You were supposed to wake ME up &gt;:(
ham,Today am going to college so am not able to atten the class.
ham,Ok c ï¿½_ then.
ham,Dunno da next show aft 6 is 850. Toa payoh got 650.
ham,Ok i shall talk to him
ham,So when you gonna get rimac access 
ham,Are you free now?can i call now?
ham,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day."
ham,"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget"
ham,Oh :-)only 4 outside players allowed to play know
ham,Sian... Aft meeting supervisor got work 2 do liao... U working now?
ham,"Geeeee ... Your internet is really bad today, eh ?"
ham,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..
ham,"Haha awesome, be there in a minute"
ham,"Sorry, I'll call later in meeting."
ham,Not course. Only maths one day one chapter with in one month we can finish.
